,LATITUDE,LONGITUDE
13,41.968290000000025,-87.72337999999996
56,41.811540000000036,-87.72555999999996
33,41.834580000000074,-87.63188999999994
69,41.747850000000035,-87.70994999999995
70,41.743190000000034,-87.65503999999999
24,41.88775000000004,-87.76362999999998
44,41.745070000000055,-87.58815999999996
20,41.93925000000007,-87.71124999999996
18,41.92802000000006,-87.75383999999997
71,41.71563000000003,-87.67280999999996
59,41.83798000000007,-87.65089999999998
57,41.818610000000035,-87.69947999999994
46,41.72031000000004,-87.59749999999997
47,41.73336000000006,-87.57741999999996
43,41.741080000000075,-87.61302999999998
65,41.775430000000036,-87.69633999999996
63,41.77809000000008,-87.75977999999998
34,41.840850000000046,-87.61719999999997
16,41.95274000000006,-87.79650999999996
26,41.87863000000005,-87.70513999999996
51,41.71207000000004,-87.53067999999996
76,41.98571000000004,-87.66345999999999
8,42.00789000000003,-87.81398999999998
67,41.77978000000007,-87.64512999999994
11,41.97640000000007,-87.75360999999998
36,41.81253000000004,-87.63261999999996
62,41.79365000000007,-87.69560999999999
55,41.790760000000034,-87.76984999999996
37,41.80931000000004,-87.62141999999994
68,41.762060000000076,-87.61457999999998
54,41.65368000000007,-87.54621999999996
19,41.928480000000036,-87.73423999999994
22,41.899070000000044,-87.71946999999994
40,41.793880000000065,-87.59325999999999
15,41.953550000000064,-87.73567999999996
10,41.970540000000035,-87.76328999999998
38,41.80952000000008,-87.59684999999996
5,41.93982000000005,-87.65681999999998
6,41.92184000000003,-87.64743999999996
3,41.97583000000003,-87.68913999999997
21,41.923280000000034,-87.69809999999997
31,41.87834000000004,-87.61996999999997
30,41.852240000000045,-87.67114999999997
58,41.82857000000007,-87.67337999999997
17,41.92902000000004,-87.79846999999997
74,41.690390000000036,-87.66598999999997
73,41.69145000000003,-87.70829999999997
7,41.90021000000007,-87.63432999999998
32,41.85388000000006,-87.62710999999996
27,41.87301000000008,-87.67612999999994
60,41.88425000000007,-87.63244999999996
4,41.95411000000007,-87.68141999999996
28,41.909028499566546,-87.71922407690974
12,41.982940000000035,-87.71914999999996
9,41.98572000000007,-87.80663999999996
35,41.82496000000003,-87.60564999999997
75,41.97959000000003,-87.90445999999996
14,41.95777000000004,-87.76503999999994
49,41.69282000000004,-87.60575999999998
53,41.653849118320025,-87.6096542058756
0,42.00897000000003,-87.66618999999996
48,41.70211000000006,-87.62573999999996
45,41.737320000000075,-87.55531999999994
50,41.69659000000007,-87.55950999999997
29,41.84797631588549,-87.71732929013754
42,41.76158000000004,-87.57801999999998
2,41.96538000000004,-87.66935999999998
72,41.71584000000007,-87.64883999999996
39,41.79141000000004,-87.62238999999994
61,41.791400000000074,-87.72329999999994
66,41.777580000000064,-87.66725999999994
25,41.87702000000007,-87.73073999999997
64,41.77315000000005,-87.72444999999998
52,41.67951000000005,-87.64188999999998
1,41.99948000000006,-87.69265999999998
23,41.893290000000036,-87.65742999999998
41,41.78046000000006,-87.60134999999997
